"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"10","240.034953202228","112.50336294460561","0.0093994140625","0.0048828125","0.006591796875","1560","0.0001583135518322925","24","0.0001583135518322925","0","0.0001583135518322925","0.0001583135518322925","9:68;11:68","9:0.0013619510990956207;11:0.00641243022802826","9:0.0016994844536834253;11:0.004655431710254232","0.0093994140625","Yes"
"11","76.68028524944681","50.48214904073363","0.0845947265625","0.106689453125","0.0625","1560","0.002283597528247052","24","0.002283597528247052","0","0.002283597528247052","0.002283597528247052","18:68;10:68;12:68","18:0.0033405445689414226;10:0.00641243022802826;12:0.00406246300770241","18:0.00315397552194005;10:0.004655431710254232;12:0.00462431288414894","0.0845947265625","Yes"
"12","79.79589398205327","84.14869476866686","0.029541015625","0.03369140625","0.025390625","1560","0.0003312286248247632","24","0.0003312286248247632","0","0.0003312286248247632","0.0003312286248247632","13:68;11:68","13:0.003701044114436919;11:0.00406246300770241","13:0.0027049891165411843;11:0.00462431288414894","0.029541015625","Yes"
"13","337.63279006760393","180.72448340469882","0.0164794921875","0.0234375","0.009521484375","1560","0.000432866581368518","24","0.000432866581368518","0","0.000432866581368518","0.000432866581368518","12:68;14:68","12:0.003701044114436919;14:0.0018962728756061753","12:0.0027049891165411843;14:0.001964755976503224","0.0164794921875","Yes"
"14","187.08238864099346","55.61384677869112","0.0076904296875","0.007568359375","0.0078125","1560","0.0002697855017351181","24","0.0002697855017351181","0","0.0002697855017351181","0.0002697855017351181","15:68;13:68","15:0.001807861752717549;13:0.0018962728756061753","15:0.0020685888779066464;13:0.001964755976503224","0.0076904296875","Yes"
"15","369.04611757550583","141.76329295905015","0.019287109375","0.0185546875","0.02001953125","1560","0.0002199728374637456","24","0.0002199728374637456","0","0.0002199728374637456","0.0002199728374637456","14:68;19:68","14:0.001807861752717549;19:0.0028113619167726145","14:0.0020685888779066464;19:0.00273483278969891","0.019287109375","Yes"
"16","188.1002194170057","144.83918785259468","0.0047607421875","0.0068359375","0.002685546875","1560","0.0003557957056969775","24","0.0003557957056969775","0","0.0003557957056969775","0.0003557957056969775","23:68;3:68","23:0.003188043644783839;3:0.002059534643291089","23:0.002713660903034154;3:0.0017268781306030156","0.0047607421875","Yes"
"17","153.34594091508302","90.45674344822528","0.0184326171875","0.021240234375","0.015625","1560","0.00017947006384492218","24","0.00017947006384492218","0","0.00017947006384492218","0.00017947006384492218","7:68;27:68","7:0.0030747016598303423;27:0.026119437906629572","7:0.003341844684791817;27:0.03532422686523348","0.0184326171875","Yes"
"18","94.13166911191752","65.62731813437333","0.005615234375","0.007080078125","0.004150390625","1560","0.0003712665493718678","24","0.0003712665493718678","0","0.0003712665493718678","0.0003712665493718678","11:68;31:68","11:0.0033405445689414226;31:0.004453689543706729","11:0.00315397552194005;31:0.0025224979148123494","0.005615234375","Yes"
"19","144.52669792708946","116.45130064465849","0.0101318359375","0.011474609375","0.0087890625","1560","0.0004981725149293204","24","0.0004981725149293204","0","0.0004981725149293204","0.0004981725149293204","35:68;15:68","35:0.002947852619153285;15:0.0028113619167726145","35:0.002978401619837978;15:0.00273483278969891","0.0101318359375","Yes"
