"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"108","254.75345339162163","189.27724272845268","0.0059814453125","0.010009765625","0.001953125","2280","0.00028094929363838537","32","0.00028094929363838537","0","0.00028094929363838537","0.00028094929363838537","107:0.0014483373030250712;109:0.0015137443145123441","107:68;109:68","107:0.0013085495421555904;109:0.0013225018706990999","0.0059814453125","0.005615234375","Yes"
"109","266.17307475001445","194.75642495338303","0.0042724609375","0.004638671875","0.00390625","2280","0.00020475820840219243","32","0.00020475820840219243","0","0.00020475820840219243","0.00020475820840219243","108:0.0015137443145123441;110:0.0027832097491378716;118:0.002862339341666381","108:68;110:68;118:68","108:0.0013225018706990999;110:0.0025263152238278186;118:0.0023410397223777024","0.0042724609375","0.010009765625","Yes"
"110","201.45786498859349","119.73632211597821","0.0081787109375","0.008056640625","0.00830078125","2280","0.0002721537340386206","32","0.0002721537340386206","0","0.0002721537340386206","0.0002721537340386206","109:0.0027832097491378716;111:0.0018651975831847911","109:68;111:68","109:0.0025263152238278186;111:0.0017627305630146528","0.0081787109375","0.002685546875","Yes"
"111","380.7971542304423","257.4205562823923","0.0233154296875","0.005859375","0.040771484375","2280","0.00020922742573837336","32","0.00020922742573837336","0","0.00020922742573837336","0.00020922742573837336","110:0.0018651975831847911;98:0.002311417205935251","112:68;110:68;98:68","110:0.0017627305630146528;98:0.0014506154032746799","0.0233154296875","0.028076171875","Yes"
"112","183.35580971741575","166.80291663851622","0.0828857421875","0.13720703125","0.025634765625","2280","","32","","0","","","","111:68;113:68","","0.0828857421875","0.088623046875","Yes"
"113","186.2539175127135","122.09801948921117","0.1441650390625","0.163330078125","0.125","2280","","32","","0","","","119:0.029797702110769236;114:0.036698042411982434","119:68;112:68;114:68","","0.1441650390625","0.179931640625","Yes"
"114","281.2202688446242","30.118136803484692","0.01708984375","0.017578125","0.0166015625","2280","0.00014189118012188112","32","0.00014189118012188112","0","0.00014189118012188112","0.00014189118012188112","115:0.005695908472365341;113:0.036698042411982434","115:68;113:68","115:0.003686797937710873","0.01708984375","0.016357421875","Yes"
"115","275.980737257446","12.075365931827617","0.0115966796875","0.0107421875","0.012451171875","2280","0.00014665205449121462","32","0.00014665205449121462","0","0.00014665205449121462","0.00014665205449121462","99:0.033653094272346556;114:0.005695908472365341","99:68;114:68","99:0.011389697946476651;114:0.003686797937710873","0.0115966796875","0.0166015625","Yes"
"116","218.7995299568161","249.92945343080856","0.09130859375","0.169677734375","0.012939453125","2280","0.0003395330830413912","32","0.0003395330830413912","0","0.0003395330830413912","0.0003395330830413912","101:0.0009834153901730203;121:0.010233684572646895","101:68;121:68","101:0.0010852700588581399;121:0.01151059980825686","0.09130859375","0.052490234375","Yes"
"117","258.465803141758","236.1979264186553","0.0087890625","0.013916015625","0.003662109375","2280","0.00022837500824437654","32","0.00022837500824437654","0","0.00022837500824437654","0.00022837500824437654","105:0.0032273428818002103;125:0.001491966009952439","105:68;125:68","105:0.0019272038704950534;125:0.0016141859332843012","0.0087890625","0.004638671875","Yes"
"118","312.8732936163809","159.98364787580513","0.005126953125","0.004638671875","0.005615234375","2280","0.00021075544583812653","32","0.00021075544583812653","0","0.00021075544583812653","0.00021075544583812653","109:0.002862339341666381;129:0.0015341655223927164","109:68;129:68","109:0.0023410397223777024;129:0.001372299643209507","0.005126953125","0.004150390625","Yes"
"119","182.0580911021118","184.58258209600885","0.0235595703125","0.019775390625","0.02734375","2280","0.0013319074126242132","32","0.0013319074126242132","0","0.0013319074126242132","0.0013319074126242132","113:0.029797702110769236;133:0.05603178860665589","113:68;133:68","133:0.046419756835942794","0.0235595703125","0.019775390625","Yes"
"120","125.40343057174192","97.37419140734501","0.02099609375","0.017333984375","0.024658203125","2280","0.00048572961619987564","32","0.00048572961619987564","0","0.00048572961619987564","0.00048572961619987564","","121:68","","0.02099609375","0.0078125","Yes"
"121","243.02419638600443","125.33840451688715","0.004150390625","0.00634765625","0.001953125","2280","0.0005824135701895884","32","0.0005824135701895884","0","0.0005824135701895884","0.0005824135701895884","122:0.008212599320297914;116:0.010233684572646895","120:68;122:68;116:68","122:0.01033842578445704;116:0.01151059980825686","0.004150390625","0.0048828125","Yes"
"122","330.45959368387366","262.5647947417303","0.0064697265625","0.00830078125","0.004638671875","2280","0.00019515902585071396","32","0.00019515902585071396","0","0.00019515902585071396","0.00019515902585071396","121:0.008212599320297914;123:0.0016085361904116802","121:68;123:68","121:0.01033842578445704;123:0.0018522920350572125","0.0064697265625","0.00341796875","Yes"
"123","204.1915396840891","19.79410898763619","0.006591796875","0.005126953125","0.008056640625","2280","0.0002686203327521501","32","0.0002686203327521501","0","0.0002686203327521501","0.0002686203327521501","136:0.00208434791866699;124:0.0018514049159255586;122:0.0016085361904116802","136:68;124:68;122:68","136:0.0019009546670192279;124:0.0018578482516880823;122:0.0018522920350572125","0.006591796875","0.00830078125","Yes"
"124","263.91042651960964","140.72494237710626","0.0196533203125","0.033447265625","0.005859375","2280","0.00017748011382505657","32","0.00017748011382505657","0","0.00017748011382505657","0.00017748011382505657","123:0.0018514049159255586;125:0.0014190804046421146","123:68;125:68","123:0.0018578482516880823;125:0.0015192277537670884","0.0196533203125","0.006103515625","Yes"
"125","265.9579488102472","291.5964469522245","0.0225830078125","0.0263671875","0.018798828125","2280","0.0002355322651375915","32","0.0002355322651375915","0","0.0002355322651375915","0.0002355322651375915","117:0.001491966009952439;124:0.0014190804046421146;126:0.0011498064369437067","117:68;124:68;126:68","117:0.0016141859332843012;124:0.0015192277537670884;126:0.0014398416494740829","0.0225830078125","0.1005859375","Yes"
"126","236.98312979716573","249.76487089084975","0.0054931640625","0.00634765625","0.004638671875","2280","0.00036953580772436465","32","0.00036953580772436465","0","0.00036953580772436465","0.00036953580772436465","127:0.001196571569312438;125:0.0011498064369437067","127:68;125:68","127:0.0017243879951699126;125:0.0014398416494740829","0.0054931640625","0.006591796875","Yes"
