"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"36","206.82043100348307","56.03344656270641","0.0194091796875","0.03173828125","0.007080078125","2584","0.0040191554173229305","36","0.0040191554173229305","0","0.0040191554173229305","0.0040191554173229305","41:0.01276636695844946;21:0.0018767851887815101","41:68;21:68","41:0.006049196074845886;21:0.0020383405891842843","0.0194091796875","Yes"
"37","166.59822256867014","19.09282590169314","0.0126953125","0.013916015625","0.011474609375","2584","0.0005763862605724575","36","0.0005763862605724575","0","0.0005763862605724575","0.0005763862605724575","45:0.008734438191410537;25:0.007873121456738519","45:68;25:68","45:0.004160900258278116;25:0.004240058116880024","0.0126953125","Yes"
"38","99.838460887902","89.46472776487208","0.0146484375","0.017822265625","0.011474609375","2584","0.0004958227893358684","36","0.0004958227893358684","0","0.0004958227893358684","0.0004958227893358684","29:0.0034669449164486943;49:0.0029914681992672665","29:68;49:68","29:0.003108771732809268;49:0.0030103806112323495","0.0146484375","Yes"
"39","89.79604921720654","75.04115784643258","0.033447265625","0.062255859375","0.004638671875","2584","0.0003296238354137125","36","0.0003296238354137125","0","0.0003296238354137125","0.0003296238354137125","53:0.0017106474499815894;33:0.001704690647196222","53:68;33:68","53:0.001911209197768854","0.033447265625","Yes"
"40","159.13839941333705","85.25828187793978","0.0205078125","0.031982421875","0.009033203125","2584","0.00025685447899826823","36","0.00025685447899826823","0","0.00025685447899826823","0.00025685447899826823","41:0.10756639794365382","41:68","41:0.19579577723845806","0.0205078125","Yes"
"41","169.082654843561","33.70070360402667","0.0108642578125","0.019287109375","0.00244140625","2584","0.0009905280925056143","36","0.0009905280925056143","0","0.0009905280925056143","0.0009905280925056143","40:0.10756639794365382;42:0.014233702327629022;36:0.01276636695844946","40:68;42:68;36:68","40:0.19579577723845806;42:0.00843222029947871;36:0.006049196074845886","0.0108642578125","Yes"
"42","254.00891769200328","145.6980448951201","0.007080078125","0.00634765625","0.0078125","2584","0.0002471710449946328","36","0.0002471710449946328","0","0.0002471710449946328","0.0002471710449946328","41:0.014233702327629022;43:0.005612301920781521","41:68;43:68","41:0.00843222029947871;43:0.003982545900059781","0.007080078125","Yes"
"43","352.53087369834344","72.30261938352506","0.0198974609375","0.01806640625","0.021728515625","2584","0.0003141188078134201","36","0.0003141188078134201","0","0.0003141188078134201","0.0003141188078134201","42:0.005612301920781521;56:0.0030666972086780264;44:0.00173440625940402","42:68;56:68;44:68","42:0.003982545900059781;56:0.0017261856238877105;44:0.002208774540670394","0.0198974609375","Yes"
"44","147.72978078181472","65.31856153778853","0.0137939453125","0.03125","0.012451171875","2584","0.0003131144810767908","36","0.0003131144810767908","0","0.0003131144810767908","0.0003131144810767908","45:0.002997187728582179;43:0.00173440625940402","45:68;43:68","45:0.0023815613128117252;43:0.002208774540670394","0.0137939453125","Yes"
"45","119.06266286540702","125.50087753718816","0.0059814453125","0.01123046875","0.000732421875","2584","0.0010815512925122376","36","0.0010815512925122376","0","0.0010815512925122376","0.0010815512925122376","44:0.002997187728582179;46:0.003322753759128494;37:0.008734438191410537","44:68;46:68;37:68","44:0.0023815613128117252;46:0.002399959056099382;37:0.004160900258278116","0.0059814453125","Yes"
"46","121.95795101923822","72.80994231440009","0.004638671875","0.005859375","0.00341796875","2584","0.0006372442176531178","36","0.0006372442176531178","0","0.0006372442176531178","0.0006372442176531178","45:0.003322753759128494;47:0.002478274720262852","45:68;47:68","45:0.002399959056099382;47:0.0027326797267955283","0.004638671875","Yes"
"47","177.4458758848222","155.9040054088284","0.0655517578125","0.045654296875","0.08544921875","2584","0.00018138823256759338","36","0.00018138823256759338","0","0.00018138823256759338","0.00018138823256759338","48:0.00933187482918399;57:0.0019396570563736393;46:0.002478274720262852","48:68;57:68;46:68","48:0.0071871672805562115;57:0.004759030915579748;46:0.0027326797267955283","0.0655517578125","Yes"
"48","220.2141057021249","20.852328228964918","0.0609130859375","0.060791015625","0.06103515625","2584","0.0028458289930643967","36","0.0028458289930643967","0","0.0028458289930643967","0.0028458289930643967","47:0.00933187482918399;49:0.009144554372234354","47:68;49:68","47:0.0071871672805562115;49:0.0065820370498899106","0.0609130859375","Yes"
"49","145.66471606065917","161.94557876387532","0.00634765625","0.010986328125","0.001708984375","2584","0.00036255477017530766","36","0.00036255477017530766","0","0.00036255477017530766","0.00036255477017530766","48:0.009144554372234354;50:0.002154611419747987;38:0.0029914681992672665","48:68;50:68;38:68","48:0.0065820370498899106;50:0.002539086103851146;38:0.0030103806112323495","0.00634765625","Yes"
"50","190.39431998284155","184.94948142862745","0.0179443359375","0.025634765625","0.01025390625","2584","0.000314036270311373","36","0.000314036270311373","0","0.000314036270311373","0.000314036270311373","49:0.002154611419747987;51:0.0031576797415525104","49:68;51:68","49:0.002539086103851146;51:0.002257266758751486","0.0179443359375","Yes"
"51","168.24315815969416","292.5108847220847","0.069580078125","0.05810546875","0.0810546875","2584","0.00026806340869966366","36","0.00026806340869966366","0","0.00026806340869966366","0.00026806340869966366","50:0.0031576797415525104;52:0.0028794068287257;58:0.002667390216533755","50:68;52:68;58:68","50:0.002257266758751486;52:0.0017568461731941598","0.069580078125","Yes"
"52","129.34965059372047","121.30846313166039","0.0166015625","0.028564453125","0.004638671875","2584","0.0003073427740367253","36","0.0003073427740367253","0","0.0003073427740367253","0.0003073427740367253","51:0.0028794068287257;53:0.0021583545579488828","51:68;53:68","51:0.0017568461731941598;53:0.0016866824934979041","0.0166015625","Yes"
"53","357.0739566245993","347.58198042220374","0.03271484375","0.023681640625","0.041748046875","2584","0.00015537740964627938","36","0.00015537740964627938","0","0.00015537740964627938","0.00015537740964627938","39:0.0017106474499815894;52:0.0021583545579488828;54:0.0013356105128135565","39:68;52:68;54:68","39:0.001911209197768854;52:0.0016866824934979041;54:0.0013055931759256012","0.03271484375","Yes"
"54","270.34361731534267","277.80908223032884","0.0135498046875","0.021484375","0.005615234375","2584","0.0001820980231146976","36","0.0001820980231146976","0","0.0001820980231146976","0.0001820980231146976","53:0.0013356105128135565;55:0.0023369314640650785","53:68;55:68","53:0.0013055931759256012;55:0.0017085701441320877","0.0135498046875","Yes"
"55","233.37598508832752","73.68340086664516","0.0296630859375","0.03662109375","0.022705078125","2584","0.00019888201026265523","36","0.00019888201026265523","0","0.00019888201026265523","0.00019888201026265523","59:0.0034152315463508165;54:0.0023369314640650785","59:68;54:68","59:0.002486639938399121;54:0.0017085701441320877","0.0296630859375","Yes"
"56","259.7934284107671","126.88918181430185","0.00830078125","0.012939453125","0.003662109375","2584","0.000441458531925769","36","0.000441458531925769","0","0.000441458531925769","0.000441458531925769","63:0.0027137661262855994;43:0.0030666972086780264","63:68;43:68","63:0.0029177073451211177;43:0.0017261856238877105","0.00830078125","Yes"
"57","144.68871658682167","64.95031409123368","0.0091552734375","0.0078125","0.010498046875","2584","0.00028398812315291673","36","0.00028398812315291673","0","0.00028398812315291673","0.00028398812315291673","47:0.0019396570563736393;67:0.0024416649752355968","47:68;67:68","47:0.004759030915579748;67:0.005158365942249971","0.0091552734375","Yes"
"58","218.82592873001002","226.72210460073643","0.022705078125","0.026611328125","0.018798828125","2584","0.0002256485299663917","36","0.0002256485299663917","0","0.0002256485299663917","0.0002256485299663917","71:0.002107921880812852;51:0.002667390216533755","71:68;51:68","71:0.0033231480164178095","0.022705078125","Yes"
"59","39.24792436997993","17.470616346698634","0.0345458984375","0.067138671875","0.001953125","2584","0.0002561936696947734","36","0.0002561936696947734","0","0.0002561936696947734","0.0002561936696947734","55:0.0034152315463508165;75:0.0018341163893758616","55:68;75:68","55:0.002486639938399121;75:0.0017156473277528117","0.0345458984375","Yes"
"60","179.1738265378003","141.94403037103356","0.00830078125","0.012939453125","0.003662109375","2584","0.00027281901849241397","36","0.00027281901849241397","0","0.00027281901849241397","0.00027281901849241397","61:0.014493107024578122","61:80","","0.00830078125","Yes"
"61","122.24612956000344","120.91645950753359","0.0250244140625","0.017578125","0.0126953125","2584","0.00017598389392627843","36","0.00017598389392627843","0","0.00017598389392627843","0.00017598389392627843","76:0.0035235911736989922;60:0.014493107024578122","76:68;60:80;62:68","76:0.003556412817334015","0.0250244140625","Yes"
"62","144.13132510256025","71.21579784387349","0.007080078125","0.01123046875","0.0029296875","2584","0.00041157677645457374","36","0.00041157677645457374","0","0.00041157677645457374","0.00041157677645457374","63:0.0034322132983302667","61:68;63:68","63:0.0025832683816944535","0.007080078125","Yes"
"63","100.69422778732401","57.004471896228395","0.2362060546875","0.1337890625","0.338623046875","2584","0.00019069985796343604","36","0.00019069985796343604","0","0.00019069985796343604","0.00019069985796343604","56:0.0027137661262855994;62:0.0034322132983302667;64:0.0018975657779297939","56:68;62:68;64:68","56:0.0029177073451211177;62:0.0025832683816944535;64:0.004143492644509084","0.2362060546875","Yes"
"64","239.22752279027912","91.31893609755258","0.029541015625","0.02978515625","0.029296875","2584","0.0006249081275622496","36","0.0006249081275622496","0","0.0006249081275622496","0.0006249081275622496","65:0.0031214979327228998;63:0.0018975657779297939","65:68;63:68","65:0.003793052279756959;63:0.004143492644509084","0.029541015625","Yes"
"65","197.97566212057157","48.69592051902338","0.0621337890625","0.043701171875","0.08056640625","2584","0.00020114755404978488","36","0.00020114755404978488","0","0.00020114755404978488","0.00020114755404978488","64:0.0031214979327228998;66:0.002283889429948144;77:0.0018007008155910276","64:68;66:68;77:68","64:0.003793052279756959;66:0.002564101769149285;77:0.00180853352828389","0.0621337890625","Yes"
"66","128.60121231586953","113.1005728353934","0.0137939453125","0.01513671875","0.012451171875","2584","0.00030723110414182395","36","0.00030723110414182395","0","0.00030723110414182395","0.00030723110414182395","65:0.002283889429948144;67:0.00211586554794585","65:68;67:68","65:0.002564101769149285;67:0.003353034103896091","0.0137939453125","Yes"
"67","141.93805716517514","74.74606167460232","0.09423828125","0.174072265625","0.014404296875","2584","0.0002807745288536565","36","0.0002807745288536565","0","0.0002807745288536565","0.0002807745288536565","68:0.003789617553900143;57:0.0024416649752355968;66:0.00211586554794585","68:68;57:68;66:68","68:0.0059748728701834175;57:0.005158365942249971;66:0.003353034103896091","0.09423828125","Yes"
"68","163.36577329536098","25.363084826019897","0.0191650390625","0.021484375","0.016845703125","2584","0.0007054577221850964","36","0.0007054577221850964","0","0.0007054577221850964","0.0007054577221850964","67:0.003789617553900143;69:0.003826140090687602","67:68;69:68","67:0.0059748728701834175;69:0.0033151314394757048","0.0191650390625","Yes"
"69","147.30023852457313","54.96313289210207","0.09228515625","0.01904296875","0.16552734375","2584","0.0002493792246818523","36","0.0002493792246818523","0","0.0002493792246818523","0.0002493792246818523","78:0.0027550772530017253;68:0.003826140090687602;70:0.0023795823708271935","78:68;68:68;70:80","78:0.0026811401737542317;68:0.0033151314394757048;70:0.0028857981608189365","0.09228515625","Yes"
"70","117.51730057124347","17.98271574174772","0.011474609375","0.011962890625","0.010986328125","2584","0.0003034847653586869","36","0.0003034847653586869","0","0.0003034847653586869","0.0003034847653586869","69:0.0023795823708271935;71:0.002059971428147539","69:80;71:68","69:0.0028857981608189365;71:0.00321359919391645","0.011474609375","Yes"
"71","178.77299006973138","220.59905536056965","0.037353515625","0.033203125","0.04150390625","2584","0.00031743712795818106","36","0.00031743712795818106","0","0.00031743712795818106","0.00031743712795818106","72:0.0032153914579767795;58:0.002107921880812852;70:0.002059971428147539","72:68;58:68;70:68","72:0.003027840506828;58:0.0033231480164178095;70:0.00321359919391645","0.037353515625","Yes"
"72","131.16645512098756","53.045814457323466","0.015869140625","0.01806640625","0.013671875","2584","0.0005982439647750109","36","0.0005982439647750109","0","0.0005982439647750109","0.0005982439647750109","73:0.002581965197474584;71:0.0032153914579767795","73:68;71:68","73:0.0038262021687507086;71:0.003027840506828","0.015869140625","Yes"
"73","128.7858218789747","72.85156066167696","0.0833740234375","0.106689453125","0.06005859375","2584","0.00031258860342590547","36","0.00031258860342590547","0","0.00031258860342590547","0.00031258860342590547","72:0.002581965197474584;74:0.0024477728163980195;79:0.0019739950709784515","72:68;74:68;79:68","72:0.0038262021687507086;74:0.0024142013045472255;79:0.0021958264757538926","0.0833740234375","Yes"
"74","114.82746349828614","13.713153815866518","0.0206298828125","0.034423828125","0.0068359375","2584","0.0002635744935424541","36","0.0002635744935424541","0","0.0002635744935424541","0.0002635744935424541","73:0.0024477728163980195;75:0.002280508851625368","73:68;75:68","73:0.0024142013045472255;75:0.0017776757752840655","0.0206298828125","Yes"
"75","320.88657425304757","274.8837209215664","0.006591796875","0.00830078125","0.0048828125","2584","0.00020340643972506557","36","0.00020340643972506557","0","0.00020340643972506557","0.00020340643972506557","59:0.0018341163893758616;74:0.002280508851625368","59:68;74:68","59:0.0017156473277528117;74:0.0017776757752840655","0.006591796875","Yes"
"76","91.47477887079978","46.94640568777259","0.0162353515625","0.017822265625","0.0146484375","2584","0.0006659519264889928","36","0.0006659519264889928","0","0.0006659519264889928","0.0006659519264889928","81:0.004534933278591169;61:0.0035235911736989922","81:68;61:68","81:0.004010578700171741;61:0.003556412817334015","0.0162353515625","Yes"
"77","156.22177970484088","42.90574787303503","0.0076904296875","0.01025390625","0.005126953125","2584","0.00028350669281392726","36","0.00028350669281392726","0","0.00028350669281392726","0.00028350669281392726","85:0.002949559217195835;65:0.0018007008155910276","85:68;65:68","85:0.003626493245778961;65:0.00180853352828389","0.0076904296875","Yes"
"78","92.89986130602043","70.57046967574523","0.0155029296875","0.01416015625","0.013916015625","2584","0.00029896647664363646","36","0.00029896647664363646","0","0.00029896647664363646","0.00029896647664363646","69:0.0027550772530017253;89:0.0016523645348058558","69:68;89:68","69:0.0026811401737542317;89:0.0017990051348344693","0.0155029296875","Yes"
"79","133.47432661500642","48.13330114738313","0.0694580078125","0.083740234375","0.05517578125","2584","0.0003502444698023754","36","0.0003502444698023754","0","0.0003502444698023754","0.0003502444698023754","93:0.0029354030494157524;73:0.0019739950709784515","93:68;73:68","93:0.002254994756559353;73:0.0021958264757538926","0.0694580078125","Yes"
"80","166.71024242586924","37.42739775006899","0.0269775390625","0.02099609375","0.032958984375","2584","0.00023543738825609586","36","0.00023543738825609586","0","0.00023543738825609586","0.00023543738825609586","81:0.0035651251318253585","81:68","81:0.003963418374299921","0.0269775390625","Yes"
"81","71.86899322258881","45.20863483699425","0.0421142578125","0.077880859375","0.00634765625","2584","0.00030422076402011953","36","0.00030422076402011953","0","0.00030422076402011953","0.00030422076402011953","80:0.0035651251318253585;76:0.004534933278591169","80:68;82:68;76:68","80:0.003963418374299921;82:0.19270810687735135;76:0.004010578700171741","0.0421142578125","Yes"
"82","6.30520685862639","6.440762177221647","0.2904052734375","0.451416015625","0.12939453125","2584","","36","","0","","","","81:68;83:68","81:0.19270810687735135","0.2904052734375","Yes"
"83","209.30162724611034","224.55576589457","0.2061767578125","0.126220703125","0.2861328125","2584","0.0004646249056625269","36","0.0004646249056625269","0","0.0004646249056625269","0.0004646249056625269","96:0.00752998405044028;84:0.004491740355063084","96:68;82:68;84:68","96:0.00520229256290769;84:0.003788235084475039","0.2061767578125","Yes"
"84","181.76430793548954","115.55654670125526","0.009033203125","0.010498046875","0.007568359375","2584","0.00045104095276799313","36","0.00045104095276799313","0","0.00045104095276799313","0.00045104095276799313","83:0.004491740355063084;85:0.0040974154807435215","83:68;85:68","83:0.003788235084475039;85:0.003085109203630615","0.009033203125","Yes"
"85","135.7045129343659","83.4142058264497","0.01123046875","0.0107421875","0.01171875","2584","0.00042251763765404113","36","0.00042251763765404113","0","0.00042251763765404113","0.00042251763765404113","77:0.002949559217195835;86:0.0024873620212972625;84:0.0040974154807435215","77:68;86:68;84:68","77:0.003626493245778961;86:0.009799646753874985;84:0.003085109203630615","0.01123046875","Yes"
"86","316.67723357098413","86.51445959347376","0.0072021484375","0.010009765625","0.00439453125","2584","0.00038928721472387035","36","0.00038928721472387035","0","0.00038928721472387035","0.00038928721472387035","85:0.0024873620212972625;87:0.0016137778193974495","85:68;87:68","85:0.009799646753874985;87:0.012285492104473134","0.0072021484375","Yes"
"87","97.77526167674421","88.7681433451716","0.004150390625","0.005615234375","0.002685546875","2584","0.00026444357492908346","36","0.00026444357492908346","0","0.00026444357492908346","0.00026444357492908346","86:0.0016137778193974495;88:0.0037693765652842826;97:0.0025232600206641087","86:68;88:68;97:68","86:0.012285492104473134;88:0.0020155722871261494;97:0.003582498692515701","0.004150390625","Yes"
"88","162.89603931342089","144.39490230867176","0.0169677734375","0.01953125","0.014404296875","2584","0.00041913446036652104","36","0.00041913446036652104","0","0.00041913446036652104","0.00041913446036652104","87:0.0037693765652842826;89:0.0031899632708985715","87:68;89:68","87:0.0020155722871261494;89:0.001404905934063172","0.0169677734375","Yes"
"89","274.1121763929658","212.6248979968042","0.015625","0.014404296875","0.016845703125","2584","0.0001702378764032335","36","0.0001702378764032335","0","0.0001702378764032335","0.0001702378764032335","90:0.0036428533059808532;88:0.0031899632708985715;78:0.0016523645348058558","90:68;88:68;78:68","90:0.003055190459406526;88:0.001404905934063172;78:0.0017990051348344693","0.015625","Yes"
"90","65.47813904289043","78.02376137557421","0.0174560546875","0.027099609375","0.0078125","2584","0.001096538734822705","36","0.001096538734822705","0","0.001096538734822705","0.001096538734822705","89:0.0036428533059808532;91:0.003363063396768534","89:68;91:80","89:0.003055190459406526;91:0.003840115072187622","0.0174560546875","Yes"
"91","135.8028392443559","207.12898772852384","0.01123046875","0.022216796875","0.000244140625","2584","0.0006028001933665161","36","0.0006028001933665161","0","0.0006028001933665161","0.0006028001933665161","98:0.0016169114575967924;90:0.003363063396768534;92:0.0018178402994270537","98:68;90:80;92:68","98:0.0013008656495313298;90:0.003840115072187622;92:0.0017712500465056624","0.01123046875","Yes"
"92","301.8078291657884","287.2427258404914","0.005859375","0.009033203125","0.002685546875","2584","0.00022724738737707115","36","0.00022724738737707115","0","0.00022724738737707115","0.00022724738737707115","91:0.0018178402994270537;93:0.0026542037506901706","91:68;93:68","91:0.0017712500465056624;93:0.0021880551488316635","0.005859375","Yes"
"93","286.9523181895813","226.67300256729138","0.006103515625","0.00830078125","0.00390625","2584","0.00018816249289620035","36","0.00018816249289620035","0","0.00018816249289620035","0.00018816249289620035","94:0.0013306751726543387;79:0.0029354030494157524;92:0.0026542037506901706","94:68;79:68;92:68","94:0.0016355326735721376;79:0.002254994756559353;92:0.0021880551488316635","0.006103515625","Yes"
"94","372.37914949418456","378.39596794434595","0.016845703125","0.016845703125","0.016845703125","2584","0.00018911557367693645","36","0.00018911557367693645","0","0.00018911557367693645","0.00018911557367693645","93:0.0013306751726543387;95:0.010850574018942266","93:68;95:68","93:0.0016355326735721376;95:0.005901612665544953","0.016845703125","Yes"
"95","330.5290164998552","363.02802179048","0.008056640625","0.03955078125","0.00634765625","2584","0.0012440139393446246","36","0.0012440139393446246","0","0.0012440139393446246","0.0012440139393446246","99:0.10157512136027297;94:0.010850574018942266","99:68;94:68","99:0.059672491162622326;94:0.005901612665544953","0.008056640625","Yes"
